cd_cnpj,nm_razao_social
04160971000150,INTEC TECNOLOGIA DA INFORMACAO SA
04169809000100,DIATOM LOGISTICA LTDA
04177638000153,POLAR TRUCK SERVICE LTDA
04214932000198,TRISUL TRANSPORTES LTDA
04234413000191,TAXCARGA EXPRESS LTDA
04251323000109,RAMIRES CARGAS E ENCOMENDAS LTDA
04333897000126,LUXAFIT TRANSPORTES LTDA
04382020000125,BERGAMINI TRANSPORTES LTDA
04399873000170,UDI ENTREGAS URGENTES LTDA
04409228000190,RC TRANSPORTES LTDA
04412314000152,NEXTRANS TRANSPORTES LTDA
04421752000187,CCA EXPRESS LTDA
04435262000130,MANGA EXPRESS LTDA
04470230000175,ND TRANSPORTES LTDA
04505472000157,KRONOS CARGO LTDA
04517963000118,TOPTRAN TRANSPORTES ESPECIAIS LTDA
04559437000110,ATMA LOGISTICA LTDA
04577788000154,TKEX TRANSPORTES LTDA
04623001000143,JGEX TRANSPORTES EIRELI
04679995000110,ADOLFATO TRANSPORTES LTDA
04681238000180,MONTINA TRANSPORTES LTDA
04682846000100,ASA SUL LOGISTICA INTEGRADA LTDA
04687427000160,LOGIN LOGISTICA INTEGRADA LTDA ME
04723500000102,OPERA TRANSPORTES LTDA
04730484000185,MARBENS TRANSPORTES EIRELI
04767972000167,FLAIR EXPRESS CARGAS E ENCOMENDAS LTDA
04783761000182,DUCARGO LOGISTICA LTDA
04825151000130,DACAR TRANSPORTES LTDA
04901176000175,MB TRANSPORTES EIRELI
04964866000173,RODOCARGO EXPRESS LTDA
05024383000151,TRANSTECHNO LOGISTICA LTDA
05109929000177,WR TRANSPORTES EIRELI
05212596000107,TZAR LOGISTICA LTDA
05272384000115,RESIDUA SOLUCOES AMBIENTAIS LTDA
05301971000195,TRANSVALE BRASIL LTDA
05331394000184,PULSAR LOGISTICA LTDA
05374773000151,ARUS TRANSPORTES LTDA
05435749000185,ARGIUS TRANSPORTES LTDA
05453273000105,SANTA RITA LOGISTIC LTDA
05504835000100,BORA TRANSPORTES LTDA
05539641000132,OPERLOG LOGISTICA E TRANSPORTES LTDA
05543757000145,CAIAPO CARGAS LTDA
05555431000138,TRANSMASSA LOGISTICA LTDA
05592303000164,SPEED BRASIL TRANSPORTES LTDA
05658881000156,TOP CARGO TRANSPORTES EIRELI
05731457000190,TATICA TRANSPORTES EIRELI
05857004000104,GVC EXPRESS LTDA
05911234000104,INTRACARGO TRANSPORTES LTDA
05915569000109,GRAN CARGO TRANSPORTES LTDA
05935141000110,PROFILE SOLUCOES EM LOGISTICA LTDA
