cd_cnpj,nm_razao_social
57815599000139,FRANCS TRANSPORTES LTDA
57894016000102,VENETO TRANSPORTES LTDA
57970782000109,JUND TRANSPORTES LTDA
58149782000105,SERVIMEX LOGISTICA LTDA
58338138000185,TOBEMA TRANSPORTADORA LTDA
58436940000108,AJOTA TRANSPORTES RODOVIARIOS LTDA
58505694000107,GERIZIM TRANSPORTES LTDA
58514803000144,CAPRIMAR TRANSPORTES LTDA
58636739000174,L L A LIOMAR OPERADOR LOGISTICO E TRANSPORTES EPP LTDA
58818022000143,TRANSFOLHA TRANSPORTE E DISTRIBUICAO LTDA
59184465000192,KRAFT TRANSPORTES LTDA
59530832000162,BRASILMAXI LOGISTICA LTDA
59801035000172,SUELY TRANSPORTES LTDA
60291275000153,ASA EXPRESS TRANSPORTES LTDA
60652120000103,TADEX TRANSPORTES LTDA
61258869000125,TRANSLUNA TRANSPORTES LTDA
61683793000185,NADJA TRANSPORTES LTDA
61737391000116,TRANSITA TRANSPORTES LTDA
62227541000104,RODOPAN TRANSPORTES LTDA
62408703000100,MOPRI TRANSPORTES LTDA
62798780000114,SETTOR TRANSPORTES LTDA
62939244000191,VIP TRANSPORTES LTDA
63935688000111,RACA TRANSPORTES LTDA
63991343000185,MARE TRANSPORTES LTDA
64232499000145,RODOBORGES TRANSPORTES LTDA
64294325000107,CONFINS TRANSPORTES LTDA
64592637000105,TRANSSEI TRANSPORTES LTDA
64666936000139,TRANSJORI TRANSPORTES LTDA
64871809000171,PEDAGIO TRANSPORTES LTDA
65008245000100,LUTIANO TRANSPORTES EIRELI
65311235000140,TRANSKOMPA LTDA
65744138000140,AGUETONI TRANSPORTES LTDA
65900714000100,NETUNO TRANSPORTES LTDA
66117425000193,SERVITEC CERIONI SANEAMENTO LTDA
66556812000126,OCEANIC TRANSPORTES LTDA
66918905000153,NOVA VISAO TRANSPORTES LTDA
67328062000106,RENAVI TRANSPORTES LTDA
67447409000121,RKM TRANSPORTES LTDA
67741363000159,ZAMINATO TRANSPORTES LTDA
68032937000182,TECEA TRANSPORTES RODOVIARIOS LTDA
68230614000101,PHELIPE TRANSPORTES EIRELI
68577659000149,RODOREI TRANSPORTES LTDA
69050532000130,TRIONON TRANSPORTES LTDA
69122331000109,JET FLY EXPRESS LTDA
69248854000198,CRISTALINA TRANSPORTES LTDA
69311637000103,REAMAR TRANSPORTES LTDA
71224430000135,TRANSESPA LTDA
71904627000115,RODOPRESS TRANSPORTES EIRELI
71948509000109,FAMILIA TRANSPORTES LTDA
72729387000122,LEVO AGORA LTDA
73260390000102,MASTERCARGO TRANSPORTES E LOGISTICA LTDA
74006115000120,MENDES & KOCH LTDA
74243270000160,TBC TRANSPORTES LTDA
74403353000179,BIAGIO TRANSPORTES LTDA
74423617000156,ABS TRANSPORTES LTDA
74443623000175,OSAKA TRANSPORTES LTDA
74445099000171,QUIMITRANS TRANSPORTES LTDA
74546565000105,EUREKA TRANSPORTES LTDA
74557190000189,TEXAS TRANSPORTES EIRELI
74643727000123,CLEMEX TRANSPORTES LTDA
75627836000110,JALOTO TRANSPORTES LTDA
77159689000126,MENDES TRANSPORTES EIRELI
77184745000182,TIC TRANSPORTES LTDA
79669339000135,RODOBEL TRANSPORTES LTDA
80576713000137,TRANSMEDEIROS TRANSPORTES LTDA
80860778000100,TELSTAR RODOVIARIO LTDA
81560047000101,ACEVILLE TRANSPORTES LTDA
82178534000177,MEIER TRANSPORTES LTDA
82270711000140,CARGOLIFT LOGISTICA SA
82918939000102,OZELLAME CARGAS URGENTES EIRELI
83630053000113,TRANSJOI TRANSPORTES LTDA
85057412000110,TRANSSIMAO TRANSPORTES LTDA
85127983000184,FONTANELLA TRANSPORTES LTDA
86447224000757,LOGMIX TRANSPORTES LTDA
86720786000137,REZZE TRANSPORTES LTDA
86755543000134,VIP TRANSPORTES LTDA ME SC
86933033000100,TRANSPAESE TRANSPORTES EIRELI
86959426000192,TRANSBOCHNIA TRANSPORTES LTDA
87404463000105,PEDROMAR TRANSPORTES LTDA
87920377000147,ROMA CARGO LOGISTICA LTDA
88009030000100,MODULAR TRANSPORTES LTDA
88668298000153,IRAPURU TRANSPORTES LTDA
89155303000197,ADELGHI TRANSPORTES LTDA
90605759000190,PETRYMAR TRANSPORTES LTDA
93084598000125,NASA TRANSPORTES LTDA
93561708000134,VINHEDOS TRANSPORTES LTDA
93949899000174,VENETOSUL TRANSPORTES LTDA
94137825000104,PRODOCIMO TRANSPORTES LTDA
94501327000190,CLICK TRANSPORTES LTDA ME
45526535000187,ALPHEU TRANSPORTES LTDA
96475455252105,BRASLOG LOGISTICA LTDA
98418526520115,IRMAOS SCHWANCK LTDA
